Record Date,State Name,Interest Rate Percent,Outstanding Advance Balance,Advance Authorization Current Month,Gross Advance Draws Current Month,Interest Accrued Fiscal Year to Date,Interest Paid Amount,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2/22/22,Colorado,1.5909,1013089861,100000000,0,8162632.26,0,2,2022,2,2022,1,2,22
2/22/22,Connecticut,1.5909,562964332.7,80000000,30887993.62,4326679.33,0,3,2022,2,2022,1,2,22
2/22/22,Hawaii,1.5909,0,65000000,0,19584.53,19584.53,4,2022,2,2022,1,2,22
2/22/22,Illinois,1.5909,4512645003,147000000,0,35948787.79,0.55,5,2022,2,2022,1,2,22
2/22/22,Massachusetts,1.5909,2268015460,0,0,18260069.87,0,6,2022,2,2022,1,2,22
2/22/22,Minnesota,1.5909,1264656468,175000000,88061474.2,9113113.47,35056.4,7,2022,2,2022,1,2,22
2/22/22,New Jersey,1.5909,526173312.8,400000000,158580280,4041228.46,1.17,8,2022,2,2022,1,2,22
2/22/22,New York*,1.5909,9353065266,560000000,134344673.4,74295300.36,0,9,2022,2,2022,1,2,22
2/22/22,Pennsylvania,1.5909,728330540.6,100000000,94513728.74,6252467.68,0,10,2022,2,2022,1,2,22
2/22/22,Texas,1.5909,0,0,0,19767040.04,4895.4,11,2022,2,2022,1,2,22
2/22/22,Virgin Islands,1.5909,98777415.99,3000000,890370,772425,235.02,12,2022,2,2022,1,2,22
2/18/22,California,1.5909,19513100805,700000000,294579860.6,154010812.7,0,1,2022,2,2022,1,2,18
2/18/22,Colorado,1.5909,1013089861,100000000,0,7986004.92,0,2,2022,2,2022,1,2,18
2/18/22,Connecticut,1.5909,555185318.2,80000000,23108979.12,4229885.44,0,3,2022,2,2022,1,2,18
2/18/22,Hawaii,1.5909,0,65000000,0,19584.53,19584.53,4,2022,2,2022,1,2,18
2/18/22,Illinois,1.5909,4512645003,147000000,0,35162029.84,0.55,5,2022,2,2022,1,2,18
2/18/22,Massachusetts,1.5909,2268015460,0,0,17864652.27,0,6,2022,2,2022,1,2,18
2/18/22,Minnesota,1.5909,1262583420,175000000,85870474.2,8892988.06,35056.4,7,2022,2,2022,1,2,18
2/18/22,New Jersey,1.5909,494633569.4,400000000,127012280,3954991.48,1.17,8,2022,2,2022,1,2,18
2/18/22,New York*,1.5909,9312514619,560000000,93788376.41,72671708.07,0,9,2022,2,2022,1,2,18
2/18/22,Pennsylvania,1.5909,710076723.6,100000000,75956311.72,6128669.2,0,10,2022,2,2022,1,2,18
2/18/22,Texas,1.5909,0,0,0,19767040.04,4895.4,11,2022,2,2022,1,2,18
2/18/22,Virgin Islands,1.5909,98777415.99,3000000,890370,755203.74,235.02,12,2022,2,2022,1,2,18
2/17/22,California,1.5909,19508197461,700000000,283769351.6,153160522.5,0,1,2022,2,2022,1,2,17
2/17/22,Colorado,1.5909,1013089861,100000000,0,7941848.08,0,2,2022,2,2022,1,2,17
2/17/22,Connecticut,1.5909,554631456.5,80000000,22555117.39,4205711.1,0,3,2022,2,2022,1,2,17
2/17/22,Hawaii,1.5909,0,65000000,0,19584.53,19584.53,4,2022,2,2022,1,2,17
2/17/22,Illinois,1.5909,4512645003,147000000,0,34965340.27,0.55,5,2022,2,2022,1,2,17
2/17/22,Massachusetts,1.5909,2268015460,0,0,17765797.88,0,6,2022,2,2022,1,2,17
2/17/22,Minnesota,1.5909,1260802420,175000000,84039474.2,8838034.34,35056.4,7,2022,2,2022,1,2,17
2/17/22,New Jersey,1.5909,486389409.4,400000000,118747280,3933791.63,1.17,8,2022,2,2022,1,2,17
2/17/22,New York*,1.5909,9309976669,560000000,91230619.75,72265920.69,0,9,2022,2,2022,1,2,17
2/17/22,Pennsylvania,1.5909,708962848.7,100000000,72846836.79,6097768.14,0,10,2022,2,2022,1,2,17
2/17/22,Texas,1.5909,0,0,0,19767040.04,4895.4,11,2022,2,2022,1,2,17
2/17/22,Virgin Islands,1.5909,98777415.99,3000000,890370,750898.26,235.02,12,2022,2,2022,1,2,17
2/16/22,California,1.5909,19507415381,700000000,270461736.3,152310266.5,0,1,2022,2,2022,1,2,16
2/16/22,Colorado,1.5909,1013089861,100000000,0,7897691.18,0,2,2022,2,2022,1,2,16
